marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
kia,sorento,1.6 Ex At6,1.6 L,1,5700000,ARS,2014,110000 km,0,0,MLA1417381554,https://auto.mercadolibre.com.ar/MLA-1417381554-kia-cerato-16-ex-automatico-4-puertas-2014-rpm-moviles-_JM
kia,sorento,2.2 Ex Premium 4x4 6at,2.2 L,0,11250000,ARS,2013,166536 km,1,0,MLA1373453591,https://auto.mercadolibre.com.ar/MLA-1373453591-kia-sorento-22-crdi-full-premium-at-2013-_JM
kia,sorento,2.5 Crdi Ex 4x4 At 140cv,2.5 L,0,6500,USD,2008,279000 km,1,0,MLA1374193395,https://auto.mercadolibre.com.ar/MLA-1374193395-kia-sorento-2008-25-crdi-ex-4x4-at-140cv-_JM
kia,sorento,2.2 Ex,2199 cc,0,13800000,ARS,2016,128500 km,1,0,MLA1431242816,https://auto.mercadolibre.com.ar/MLA-1431242816-kia-sorento-2016-22-ex-_JM
kia,sorento,2.4 Ex 4x4 6at,2.4 L,1,20000,USD,2015,117000 km,1,0,MLA1371492559,https://auto.mercadolibre.com.ar/MLA-1371492559-kia-sorento-2015-24-ex-4x4-6at-_JM
kia,sorento,1.6 Ex 132cv 6at,1591 cc,1,11800,USD,2014,82000 km,0,0,MLA1374825193,https://auto.mercadolibre.com.ar/MLA-1374825193-kia-soul-2014-16-ex-132cv-6at-_JM
kia,sorento,2.2 Crdi Ex,2.2 L,0,43000,USD,2017,63000 km,1,0,MLA1428579910,https://auto.mercadolibre.com.ar/MLA-1428579910-kia-sorento-2017-22-crdi-ex-_JM
kia,sorento,2.2 Ex,2199 cc,0,13500000,ARS,2016,141000 km,1,0,MLA1425774116,https://auto.mercadolibre.com.ar/MLA-1425774116-kia-sorento-2016-22-ex-_JM
kia,sorento,2.5 Ex Crdi 140 Hp At Exe,2.5 L,0,3000000,ARS,2005,240000 km,0,0,MLA1426460842,https://auto.mercadolibre.com.ar/MLA-1426460842-kia-sorento-_JM
kia,sorento,1.4 Ex 109cv 4at,1396 cc,1,8500,USD,2014,118000 km,0,0,MLA1372970821,https://auto.mercadolibre.com.ar/MLA-1372970821-kia-rio-2014-14-ex-109cv-4at-_JM
kia,sorento,2.4 Ex,2.4 L,1,32700,USD,2017,63000 km,0,1,MLA1431834164,https://auto.mercadolibre.com.ar/MLA-1431834164-kia-sorento-2017-24-ex-_JM
kia,sorento,2.4 Ex Premium 4x4 6at,2.4 L,1,12000,USD,2011,172000 km,1,0,MLA1371920435,https://auto.mercadolibre.com.ar/MLA-1371920435-kia-sorento-2011-24-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,8880000,ARS,2013,76000 km,0,0,MLA1373018911,https://auto.mercadolibre.com.ar/MLA-1373018911-kia-sorento-2013-24-ex-4x2-6at-_JM
kia,sorento,2.4 Ex At 4x2,2358 cc,1,40900,USD,2018,16500 km,0,0,MLA1371711677,https://auto.mercadolibre.com.ar/MLA-1371711677-kia-sorento-_JM
kia,sorento,2.2 Ex At 4x4,2.2 L,0,35000,USD,2018,83000 km,1,0,MLA1433841776,https://auto.mercadolibre.com.ar/MLA-1433841776-kia-sorento-2018-22-ex-at-4x4-_JM
kia,sorento,2.4 Ex 4x4 6at,2349 cc,1,14500,USD,2011,160000 km,1,0,MLA1426891282,https://auto.mercadolibre.com.ar/MLA-1426891282-kia-sorento-2011-24-ex-4x4-6at-_JM
kia,sorento,2.4 Ex At 4x2,2358 cc,1,32500,USD,2018,85000 km,0,0,MLA1371696405,https://auto.mercadolibre.com.ar/MLA-1371696405-kia-sorento-2018-24-ex-at-4x2-_JM
kia,sorento,2.4 Ex 4x4 6at,2349 cc,1,11500,USD,2011,211000 km,1,0,MLA1432282964,https://auto.mercadolibre.com.ar/MLA-1432282964-kia-sorento-2011-24-ex-4x4-6at-_JM
kia,sorento,2.4 Ex Premium 4x4 6at,2349 cc,1,5900000,ARS,2011,170000 km,1,0,MLA1432765488,https://auto.mercadolibre.com.ar/MLA-1432765488-kia-sorento-2011-24-ex-premium-4x4-6at-_JM
kia,sorento,2.0 Ex 4wd 163cv 6at,2 L,1,18800,USD,2014,113500 km,1,0,MLA1431915450,https://auto.mercadolibre.com.ar/MLA-1431915450-kia-sportage-2014-20-ex-4wd-163cv-6at-_JM
kia,sorento,2.4 Ex 4x4 6at,2.4 L,1,15400,USD,2013,192500 km,1,0,MLA1427558008,https://auto.mercadolibre.com.ar/MLA-1427558008-kia-sorento-2013-24-ex-4x4-6at-_JM
kia,sorento,2.4 Ex,2358 cc,1,12410000,ARS,2017,87000 km,0,1,MLA1416288060,https://auto.mercadolibre.com.ar/MLA-1416288060-kia-sorento-_JM
kia,sorento,2.2 Ex,2.2 L,0,30000,USD,2016,142000 km,1,0,MLA1431836152,https://auto.mercadolibre.com.ar/MLA-1431836152-kia-sorento-2016-22-ex-_JM
kia,sorento,2.4 Ex Premium 4x4 6at,2349 cc,1,14500,USD,2010,120000 km,1,0,MLA1425631482,https://auto.mercadolibre.com.ar/MLA-1425631482-kia-sorento-24-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex,2349 cc,1,32500,USD,2017,60000 km,0,0,MLA1422372490,https://auto.mercadolibre.com.ar/MLA-1422372490-kia-sorento-ex-24-4x2-at-_JM
kia,sorento,3.8 Ex 4x4 At Esp,3778 cc,1,9000,USD,2009,225000 km,1,0,MLA1436117328,https://auto.mercadolibre.com.ar/MLA-1436117328-kia-sorento-2009-38-ex-4x4-at-esp-_JM
kia,sorento,SX CRDI 2.2 8AT,3778 cc,0,109999,USD,2023,0 km,1,0,MLA1337183159,https://auto.mercadolibre.com.ar/MLA-1337183159-kia-sorento-0km-2023-sx-crdi-22-8at-entrega-inmediata-_JM
kia,sorento,2.2 Crdi Ex At 4x2,2.2 L,0,46000,USD,2020,29500 km,0,0,MLA1371851311,https://auto.mercadolibre.com.ar/MLA-1371851311-sorento-4x2-2020-_JM
kia,sorento,2.2 Crdi Ex At 4x2,2.2 L,0,7990000,ARS,2014,164000 km,0,1,MLA1416321438,https://vehiculo.mercadolibre.com.ar/MLA-1416321438-kia-k2500-chais-cabina-_JM
kia,sorento,2.2 Crdi 6at,2.2 L,0,10900,USD,2010,235154 km,0,0,MLA1373187557,https://auto.mercadolibre.com.ar/MLA-1373187557-kia-sorento-_JM
kia,sorento,EX 2.4 4X2,2.2 L,1,33500,USD,2017,57000 km,0,0,MLA1373056991,https://auto.mercadolibre.com.ar/MLA-1373056991-kia-sorento-ex-24-4x2-7-asientos-cuero-_JM
kia,sorento,Diesel 4X4,2.2 L,0,43000,USD,2019,90000 km,1,0,MLA1373393943,https://auto.mercadolibre.com.ar/MLA-1373393943-kia-sorento-_JM
kia,sorento,2014,2.2 L,1,7300000,ARS,2017,1111 km,0,0,MLA1431839822,https://auto.mercadolibre.com.ar/MLA-1431839822-kia-soul-16-ex-at-l14-2017-_JM
kia,sorento,2.2 Ex At 4x4,2.5 L,0,38900,USD,2018,99000 km,0,0,MLA1371638755,https://auto.mercadolibre.com.ar/MLA-1371638755-kia-sorento-ex-22-crdi-at-4wd-l1618-2018-_JM
kia,sorento,2.2 Crdi Ex 4x4,2.2 L,0,50000,USD,2019,53000 km,1,0,MLA1425571942,https://auto.mercadolibre.com.ar/MLA-1425571942-kia-sorento-2019-22-crdi-ex-4x4-_JM
kia,sorento,2.2 Ex Premium 4x4 6at,2.2 L,0,21900,USD,2013,151000 km,1,0,MLA1424749732,https://auto.mercadolibre.com.ar/MLA-1424749732-kia-sorento-22-crdi-todo-terreno-automatica-7-asientos-13-_JM
kia,sorento,2.2 Ex,2199 cc,0,13390000,ARS,2016,120000 km,1,0,MLA1374670125,https://auto.mercadolibre.com.ar/MLA-1374670125-kia-sorento-ex-22-at-4x4-7-asientos-diesel-_JM
kia,sorento,2.2 Crdi Ex,2.2 L,0,29000,USD,2017,90000 km,1,0,MLA1372820231,https://auto.mercadolibre.com.ar/MLA-1372820231-kia-sorento-2017-22-crdi-ex-_JM
kia,sorento,2.2 Crdi Ex 4x4,2199 cc,0,45900,USD,2018,46000 km,1,0,MLA1422421448,https://auto.mercadolibre.com.ar/MLA-1422421448-kia-sorento-22-crdi-4wd-at-7a-2018-_JM
kia,sorento,2.2 Ex At 4x4,2199 cc,0,109990,USD,2023,0 km,1,0,MLA1337396896,https://auto.mercadolibre.com.ar/MLA-1337396896-kia-sorento-4x4-0km-2023-sx-crdi-22-8at-2023-en-stock-_JM
