marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
ford,focus,1.8 Exe Sedan Tdci Trend Plus,1.8 L,0,2500000,ARS,2010,111111 km,0,1,MLA1434987494,https://auto.mercadolibre.com.ar/MLA-1434987494-ford-focus-2-2010-18-exe-sedan-tdci-trend-plus-_JM
ford,focus,1.6 One Ambiente Mp3,1.6 L,1,700000,ARS,2010,25046 km,0,1,MLA1430606656,https://auto.mercadolibre.com.ar/MLA-1430606656-ford-focus-2010-16-one-ambiente-mp3-_JM
ford,focus,EXE STYLE 1.6L SIGMA,1.6 L,1,3100000,ARS,2010,75000 km,0,1,MLA1437796642,https://auto.mercadolibre.com.ar/MLA-1437796642-ford-focus-exe-style-16l-sigma-_JM
ford,focus,2.0 Trend Plus,1.6 L,1,3000000,ARS,2010,245000 km,0,1,MLA1372985587,https://auto.mercadolibre.com.ar/MLA-1372985587-ford-focus-20-trend-plus-_JM
ford,focus,Ghia 2.0,1.6 L,1,3200000,ARS,2010,209000 km,0,1,MLA1434502556,https://auto.mercadolibre.com.ar/MLA-1434502556-ford-focus-ghia-20-_JM
ford,focus,Guía,1.6 L,1,3600000,ARS,2010,120000 km,0,1,MLA1428944118,https://auto.mercadolibre.com.ar/MLA-1428944118-ford-focus-2-guia-_JM
ford,focus,Hdi,1.6 L,0,2700000,ARS,2010,170000 km,0,1,MLA1425635202,https://auto.mercadolibre.com.ar/MLA-1425635202-ford-focus-hdi-_JM
ford,focus,1.8 Ghia,1.6 L,0,2500000,ARS,2010,167000 km,0,1,MLA1372047919,https://auto.mercadolibre.com.ar/MLA-1372047919-ford-focus-18-ghia-_JM
ford,focus,1.8 Exe Sedan Tdci Trend Plus,1.8 L,0,2200000,ARS,2010,283000 km,0,1,MLA1371251683,https://auto.mercadolibre.com.ar/MLA-1371251683-ford-focus-2-2010-18-exe-sedan-tdci-trend-plus-_JM
ford,focus,one,1.8 L,1,2100000,ARS,2010,127861 km,0,1,MLA1374749977,https://auto.mercadolibre.com.ar/MLA-1374749977-ford-focus-one-_JM
ford,focus,Exe trend plus 1.8,1.8 L,0,2350000,ARS,2010,240000 km,0,1,MLA1428587578,https://auto.mercadolibre.com.ar/MLA-1428587578-ford-focus-exe-trend-plus-18-_JM
ford,focus,2.0 Trend,1.8 L,1,2000000,ARS,2010,190000 km,0,1,MLA1425568112,https://auto.mercadolibre.com.ar/MLA-1425568112-ford-focus-20-trend-_JM
ford,focus,2.0 Exe Sedan Trend Plus,2 L,1,6000,USD,2010,110000 km,0,1,MLA1435319706,https://auto.mercadolibre.com.ar/MLA-1435319706-ford-focus-ii-2010-20-exe-sedan-trend-plus-_JM
ford,focus,Focus exe   1.6  tre,2 L,1,2850000,ARS,2010,150000 km,0,1,MLA1374129485,https://auto.mercadolibre.com.ar/MLA-1374129485-ford-focus-focus-exe-16-tre-_JM
ford,focus,TDCI,2 L,0,2600000,ARS,2010,153000 km,0,1,MLA1434745182,https://auto.mercadolibre.com.ar/MLA-1434745182-ford-focus-tdci-_JM
ford,focus,5 puerta,2 L,1,2650000,ARS,2010,155000 km,0,1,MLA1434829236,https://auto.mercadolibre.com.ar/MLA-1434829236-ford-focus-5-puerta-_JM
ford,focus,1.8,2 L,0,2700000,ARS,2010,148000 km,0,1,MLA1428858818,https://auto.mercadolibre.com.ar/MLA-1428858818-ford-focus-18-_JM
ford,focus,2.0 nafta ghia M.T,2 L,1,2750000,ARS,2010,136000 km,0,1,MLA1433090980,https://auto.mercadolibre.com.ar/MLA-1433090980-ford-focus-20-nafta-ghia-mt-_JM
ford,focus,2.0 At,2 L,0,2950000,ARS,2010,115000 km,0,1,MLA1428006876,https://auto.mercadolibre.com.ar/MLA-1428006876-ford-focus-20-at-_JM
ford,focus,Exe trend 2.0,2 L,1,3000000,ARS,2010,142000 km,0,1,MLA1428541736,https://auto.mercadolibre.com.ar/MLA-1428541736-ford-focus-exe-trend-20-_JM
ford,focus,2.0 Trend Plus,2 L,0,2650000,ARS,2010,170000 km,0,1,MLA1373946211,https://vehiculo.mercadolibre.com.ar/MLA-1373946211-ford-focus-20-trend-plus-_JM
ford,focus,1.6 Trend Sigma,2 L,1,3000000,ARS,2010,173000 km,0,1,MLA1433001842,https://auto.mercadolibre.com.ar/MLA-1433001842-ford-focus-2-16-trend-sigma-_JM
ford,focus,EXE PLUS,2 L,1,3300000,ARS,2010,130000 km,0,1,MLA1432650410,https://auto.mercadolibre.com.ar/MLA-1432650410-ford-focus-exe-plus-_JM
ford,focus,2.0 Trend Plus,2 L,1,3200000,ARS,2010,99500 km,0,1,MLA1433764528,https://auto.mercadolibre.com.ar/MLA-1433764528-ford-focus-20-trend-plus-_JM
ford,focus,1.6 Trend Sigma,1596 cc,1,2800000,ARS,2010,118000 km,0,1,MLA1372202433,https://auto.mercadolibre.com.ar/MLA-1372202433-ford-focus-trend-16-nafta-ano-2010-liv-motors-_JM
ford,focus,2.0 Trend Plus,1999 cc,1,3100000,ARS,2010,96000 km,0,1,MLA1415655178,https://auto.mercadolibre.com.ar/MLA-1415655178-ford-focus-ii-2010-20-trend-plus-_JM
